Taille,Temps_Liste,Temps_Hash
10,0.000003,0.000002
11,0.000002,0.000001
12,0.000002,0.000001
13,0.000003,0.000002
14,0.000004,0.000002
15,0.000007,0.000001
16,0.000004,0.000002
17,0.000004,0.000002
18,0.000004,0.000001
19,0.000005,0.000002
20,0.000008,0.000002
22,0.000006,0.000002
24,0.000009,0.000002
26,0.000010,0.000002
28,0.000011,0.000002
30,0.000012,0.000002
33,0.000013,0.000002
36,0.000016,0.000003
39,0.000018,0.000002
42,0.000020,0.000002
46,0.000024,0.000005
50,0.000027,0.000003
55,0.000031,0.000004
60,0.000036,0.000003
66,0.000043,0.000004
72,0.000050,0.000005
79,0.000059,0.000004
86,0.000067,0.000005
94,0.000078,0.000005
103,0.000078,0.000007
113,0.000109,0.000007
124,0.000103,0.000004
136,0.000059,0.000005
149,0.000083,0.000005
163,0.000083,0.000005
179,0.000094,0.000005
196,0.000118,0.000008
215,0.000336,0.000013
236,0.000243,0.000010
259,0.000337,0.000011
284,0.000239,0.000011
312,0.000328,0.000013
343,0.000346,0.000013
377,0.000420,0.000013
414,0.000553,0.000017
455,0.000772,0.000017
500,0.000866,0.000025
550,0.001374,0.000032
605,0.001037,0.000022
665,0.001178,0.000022
731,0.001440,0.000037
804,0.002138,0.000083
884,0.002113,0.000035
972,0.002482,0.000047
1069,0.003191,0.000058
1175,0.003546,0.000063
1292,0.004580,0.000073
1421,0.006161,0.000123
1563,0.006852,0.000110
1719,0.007577,0.000092
1890,0.009743,0.000190
2079,0.016869,0.000151
2286,0.016743,0.000171
2514,0.017296,0.000181
2765,0.022836,0.000210
3041,0.026163,0.000235
3345,0.028908,0.000273
3679,0.034904,0.000308
4046,0.042760,0.000356
4450,0.051047,0.000408
4895,0.060102,0.000476
5384,0.072658,0.000542
5922,0.088174,0.000619
6514,0.106218,0.000710
7165,0.126924,0.000808
7881,0.159664,0.000967
8669,0.185062,0.001128
9535,0.225226,0.001278
10488,0.267396,0.001467
11536,0.344375,0.001913
12689,0.403219,0.001992
13957,0.467500,0.002450
15352,0.552833,0.002857
16887,0.675768,0.003308
18575,0.825197,0.003917
20432,1.027237,0.004614
22475,1.252817,0.005457
24722,1.445752,0.006541
27194,1.834934,0.007797
29913,2.106182,0.009375
32904,2.747741,0.011424
36194,3.350393,0.013633
39813,3.942096,0.016548
43794,4.858757,0.020867
48173,5.625810,0.023917
52990,7.184432,0.029485
58289,8.798267,0.035926
64117,10.535483,0.042896
70528,12.670075,0.052837
77580,15.694221,0.069321
85338,18.427401,0.077230
93871,26.675718,0.098144
